product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
P001,Smartphone,Electronics,552.0,800,31,3.6,401,Group summer catch Democrat so interesting local group over production very stage let only.,b8056ca7-d1c3-43a3-bd1c-dbf59fc28cf9,Emily Flores,b03e2188-036b-43b7-8ad9-5666938eaa2b,Doctor last make provide board.,Leader despite song sort. Bar suffer the style item true.,https://placeimg.com/378/187/any,http://cox.com/
P006,Smartwatch,Electronics,139.5,150,7,4.3,346,More sign address PM result research company small chance matter thing.,4214586b-2fd2-4305-975a-d37d305dc3a5,David Dillon,3a357654-5406-43b8-b0e8-619c3f2d2470,Have meet certainly deal.,Pay vote least authority Mrs. North north high provide word crime our.,https://www.lorempixel.com/385/271,https://www.long.com/
P008,Blender,Home Appliances,72.9,90,19,4.0,485,Issue according major political again how stuff.,722bf750-cf7e-40e6-9ea6-d00211981d41,Jeremiah Murphy,63cc8a2d-e907-4558-b787-e17f33a7c0cb,Election year second financial generation economic grow opportunity.,The college none through town instead nature. Family decision total suggest.,https://placekitten.com/197/170,https://lester-cordova.com/
P003,Headphones,Accessories,74.0,100,26,3.3,3,Continue less generation billion week prove once woman air develop baby fly yard.,28baa4a1-fefc-4d14-9911-0a0b7a65de80,Matthew Perry,73a76766-8e02-49bb-b675-2ffe3d8c5c1a,Research town class everybody professional threat.,Detail someone clear local hair effort once.,https://placekitten.com/473/900,http://www.ryan.net/
P002,Laptop,Electronics,840.0,1200,30,3.5,19,Pressure pull report around home sister nothing bar bank cut control.,35336c04-2ecc-4e48-8b78-f0372e7196fe,Ronald Jacobs,cacd5342-caeb-4268-8d66-f1171df71098,Figure participant movie indicate require sure.,Team such blue particular read mother lay moment.,https://www.lorempixel.com/187/46,http://benson.net/
P006,Smartwatch,Electronics,115.5,150,23,4.2,70,Hard material include also other forget like whose or land hit television.,d598f0ab-197a-48c0-a54f-32cb20a89523,Matthew Foster,656d07a4-11dd-4e1c-b050-0b0d19612880,She region big across agree movie them.,Green sign message.,https://dummyimage.com/599x120,https://www.villarreal.biz/
P009,LED Lamp,Home Appliances,35.2,40,12,1.1,492,Drop gas task avoid ability president suggest.,24ff152c-13f6-4797-a936-96d7d427ab77,Deborah Graham,2d2cf2ed-1aa9-4bbf-80a9-94151817675a,North use probably industry language fear they chance.,Morning determine ground. Visit task wind democratic face political relate every.,https://placeimg.com/171/358/any,http://www.gomez.biz/
P004,Shoes,Fashion,64.0,80,20,3.9,57,Memory responsibility necessary understand reflect there friend capital our bit significant lawyer.,2d2521ba-c569-45a9-9af6-d97348e7c0e3,Steven Allen,6b34504d-8a18-4ac4-b2f0-94d41b1215d8,Care me sound minute better suffer through.,Receive believe goal attention develop. Girl lay defense statement since different case.,https://placekitten.com/301/580,https://gross.com/
P009,LED Lamp,Home Appliances,36.4,40,9,1.0,88,Job travel black home national lawyer unit test.,e406711c-ca10-4510-87c3-a862ded0f2ac,Jordan Valdez,724dd9c2-d549-4701-ab0f-a336139bb533,Good his challenge special program.,Clearly city partner might. Family cut sign likely.,https://placekitten.com/781/664,http://www.costa.net/
P002,Laptop,Electronics,732.0,1200,39,4.1,376,Today eat garden hospital large card speech writer arrive president executive.,55847c42-d54b-4c8c-8762-7a6d06bc21c8,Christopher Gonzalez,a4f8ddf8-02e9-4ad3-98ec-99afc072b2a6,Station social reality simple.,Appear hit court ok PM nature suffer. Its room commercial view like audience.,https://dummyimage.com/531x843,http://harrison.info/
P005,Backpack,Fashion,44.4,60,26,3.4,188,Before goal else exist check lose fall some ago travel ok easy wish.,a576d79d-f43c-4b8c-bf77-422ded0082a3,Wanda Francis,f548f646-8aa3-4487-aba1-58195a0ebb9d,Vote onto already energy.,Rock want although pull of south. See including quickly service toward.,https://dummyimage.com/883x646,https://www.rogers.com/
P008,Blender,Home Appliances,78.3,90,13,3.6,336,Indeed partner improve Republican information task country.,5961de1e-17b7-437f-97ae-53124ccd81e4,Cynthia Larson,4edf2b9c-4c5e-4d5d-b6f5-4e128eaa70b8,Country purpose research another do official give.,Former raise administration.,https://placeimg.com/882/458/any,http://www.thompson.com/
P006,Smartwatch,Electronics,94.5,150,37,4.7,405,Raise reason executive garden civil born heavy by.,640923a3-e6e9-4243-b5a9-120ca6c20ea9,Crystal Gordon,02209d3d-68fb-4567-a0ea-53c2d579a76d,Itself say option my.,Baby laugh claim take. Lose career could weight nice early stop.,https://placekitten.com/932/220,http://miller-rice.com/
P003,Headphones,Accessories,88.0,100,12,4.8,62,Indeed discussion half both indicate maintain wear tend.,fdf18ff5-87b5-47bf-89b0-9f848af49008,Zachary Reynolds,d0c27599-c8c3-4dee-8467-bc3bc6741a37,New month behavior those.,Power without lose short enter blue. Than Democrat report glass.,https://placekitten.com/554/958,http://www.cole-morris.org/
P005,Backpack,Fashion,48.6,60,19,3.5,445,Land artist former call you site walk improve decision child.,32452543-39ef-4434-b21c-2963f8883842,Sharon Morris,7c8ca763-1670-4be1-9515-48ad6c45ecf9,Support nation worker time.,Different scene pick region.,https://dummyimage.com/83x308,http://www.matthews-johnson.com/
P004,Shoes,Fashion,63.2,80,21,1.7,16,Culture concern approach nation light anyone suddenly.,d63ef927-32c9-483f-bc12-0ebb04ce6ea5,Gregory Burton,1fbcdcbf-9fae-4ae9-ad52-9ec3f073fa87,Entire hospital traditional strong design father door girl.,Movie Mr with want perform style dream fish. Television shake keep author inside.,https://dummyimage.com/542x93,https://www.horton.info/
P004,Shoes,Fashion,52.0,80,35,4.4,457,Yet everything image policy me role economy simple less.,11767682-a2fe-4e4c-8a65-df669c082b70,Ashley Blanchard,7fed8d29-1d5d-4922-80a6-34abd76d457b,Car yet back forget herself thus.,Team out simple good fish north.,https://placeimg.com/739/24/any,http://vega.biz/
P009,LED Lamp,Home Appliances,30.8,40,23,1.1,11,Building political war store down again over instead such region issue exactly.,53a78aed-c177-4b9a-92a5-0a4660dd98a2,Gary Cooper,e49faa6d-d00b-4556-adec-d9220819f6ed,Conference structure kitchen loss that see.,Part push exist most. Water red more environment least you study.,https://placeimg.com/931/671/any,http://price-jimenez.biz/
P007,Book,Books,20.5,25,18,2.5,463,Music back design person crime go station response film participant dinner.,b899d2a9-2478-4a2e-99b2-9c4ff8ca76fb,Albert Avery,1f2b4341-2dba-4eb0-86d6-b82797a53b97,Control American rich social sister fund.,If generation test room hour.,https://dummyimage.com/195x730,http://alexander.biz/
P007,Book,Books,20.25,25,19,2.7,382,Effort teacher time score measure ask sit event.,5cb9e1c6-4ba5-48da-8dea-3f441ca83d7b,James Bryant,12273c5f-2761-41b6-8e59-edacfa9babc0,Matter at best catch moment way.,Participant book name result seven.,https://placeimg.com/968/337/any,https://www.sullivan-davis.info/
P007,Book,Books,23.5,25,6,5.0,329,Training parent data else word during leader yes reach close bit since.,260b75cd-2550-4dc4-b397-436892bded43,Katie Matthews,8564a1cc-cc28-47df-bcf9-bd1911e6ddf7,Degree believe toward quite prevent.,Real final similar say on sense.,https://placekitten.com/589/90,http://larson-blackwell.biz/
P010,Tablet,Electronics,240.0,400,40,2.2,481,Billion investment specific single Republican let whose prevent.,4d8dae27-a849-4754-aa4a-7eb0491ddd0e,Paul Armstrong,e40c0c25-be84-482c-881b-1579d58099ba,Listen too analysis member enough.,From toward girl gun test describe. Reach technology commercial contain yet form.,https://www.lorempixel.com/257/665,https://martinez.net/
P004,Shoes,Fashion,72.0,80,10,3.5,115,Thank great assume when born live find.,7b64e4a5-d218-433d-ac33-c06f2431fa66,David Garcia,47f74642-f53d-4ded-a3b2-19a182653ca8,Position us camera population memory special tree.,Step that painting among story. Wait determine why prepare.,https://placeimg.com/437/93/any,http://www.hale.org/
P010,Tablet,Electronics,252.0,400,37,5.0,403,Matter media action animal capital from evening account green knowledge.,d17d0624-0ad4-4f3d-a635-b4bbd117faf9,Deborah Cortez,681a9cc1-d1f3-4e8d-b451-4e6d5d4a1039,Leave author knowledge mention class front.,Condition research early beyond. Conference Mr own daughter arrive member born.,https://placekitten.com/247/752,https://www.dunlap.com/
P008,Blender,Home Appliances,58.5,90,35,2.9,229,Finally on expert million adult sing.,4039561a-0d72-4e9b-a8e0-e07938b29e8b,Megan Bell,6992d221-63e3-4c24-b508-e6fa3ba2bcd6,Term American room hard left.,Heart I number.,https://placekitten.com/919/271,http://brady.biz/
P010,Tablet,Electronics,280.0,400,30,1.6,418,Voice get rich deal top purpose side produce.,4017893c-0518-45cf-ba77-2ee2bfb282a0,Karen Morris,a2b40e39-6dc8-46ef-a3bc-24fc01b7fbdf,Per sure vote dog simply.,Evidence believe guess security able wide whole. Operation finally they away house.,https://placekitten.com/106/270,http://villarreal.com/
P010,Tablet,Electronics,352.0,400,12,4.7,104,Close effect occur art even here western remember kitchen word.,39e09bd2-2e88-44ca-afcf-c92500efd601,Eric Rodgers,f056b81f-397d-4ce0-8f60-f3a5bd6b21c4,Fly spring particularly particularly.,Teacher amount mention pick live least.,https://placekitten.com/49/669,https://www.castillo.org/
P005,Backpack,Fashion,51.0,60,15,2.1,373,Traditional beyond home similar how pull let item.,5f351dc8-75eb-4b3b-9f92-7a888bf031be,Jimmy Stewart,ec3e0af1-a281-4a57-ab86-d1f93cd0a606,Impact plant mother none indicate north light.,Home president protect majority we commercial sure anyone. Rest rate bag score under soon he.,https://placekitten.com/721/260,http://www.miller-clark.com/
P006,Smartwatch,Electronics,136.5,150,9,1.3,420,Pressure think piece behavior west reality pressure first.,8c80bb8e-97be-464b-9ff3-e9a7512fb15f,Joseph Sanders,e8acae37-0825-4cc7-8e59-34fd02e80d8c,Black step whether simple tend.,Hit choice ever owner break information. Book study officer piece whose standard professional.,https://www.lorempixel.com/248/558,https://www.johnson-hoffman.com/
P010,Tablet,Electronics,308.0,400,23,3.1,433,Hundred where woman soon material bill.,e0095e42-dd3b-4c0d-b34e-0b21c3833e57,Jessica Wagner,3464cfe0-785e-4212-bb20-0cd0126e676f,Answer mission nice from.,Many chance check others final than.,https://www.lorempixel.com/312/251,http://walls.com/
P006,Smartwatch,Electronics,115.5,150,23,2.6,119,Television letter our safe ago leg half son responsibility service.,b176fc4a-2417-4551-8929-89d4e51986b0,Carla Smith,62731d77-d546-47ff-b410-03e7d55bd9cc,Media trip reality work third less college.,Through trip subject bank mind home allow. Send my mouth little either.,https://placeimg.com/19/206/any,https://www.nguyen-james.com/
P002,Laptop,Electronics,768.0,1200,36,4.3,244,That sister professional debate significant between her ground rise.,5a3a52e2-0739-47ad-ab69-feb10d63431c,Justin Mcfarland,c3df8211-0276-4ce0-a725-e78c1176d126,Low animal past face admit number.,Sport military his manage.,https://dummyimage.com/167x853,https://www.brooks-collins.com/
P004,Shoes,Fashion,64.8,80,19,4.5,231,Popular interest partner edge father pretty last.,d328f8c3-cab1-4353-b386-f57a521cd665,John Hammond,fc5f1837-3c10-43a6-9c2a-5e589993368d,Seat power late character soldier she long language.,Occur rise someone rise including current them also. Range discuss avoid sister country.,https://placekitten.com/617/170,https://carr.com/
P002,Laptop,Electronics,924.0,1200,23,1.2,169,Along light particularly soon beat pick million company least very heavy.,4709a74f-b9e8-4a90-b0b0-63e1b4060c31,Shawn Matthews,6735e682-afe1-4bd2-a569-8149ede15073,Require body great.,Charge star pretty theory art bank sound. Remain military oil forward.,https://placeimg.com/762/477/any,http://www.macdonald.com/
P008,Blender,Home Appliances,77.4,90,14,1.2,147,As well image expert station establish bag wind.,269dce85-4f87-47cb-aff9-bda796fe19f7,Jennifer Mcconnell,2e1a074f-6693-410f-932a-e2cd394ace21,Reduce follow continue affect blue world blue.,Drug field area item quite responsibility though. None station goal until.,https://placeimg.com/601/580/any,http://simon.com/
P001,Smartphone,Electronics,496.0,800,38,2.7,5,Box religious compare notice explain realize.,88f8c3e8-d3cc-45eb-88cd-1962d22fae13,Paul Fernandez,d5104775-5bee-45ef-84bd-fd56e7475184,Water later firm.,Something likely person various without. See gun be environment.,https://dummyimage.com/345x221,http://www.diaz-martinez.com/
P009,LED Lamp,Home Appliances,24.0,40,40,3.6,269,Last everything Congress mission important environment certain lead real debate ask fine.,7d6a7dba-4df1-4607-a81d-e0d70ca85bc5,Gregory Porter,931a4f3c-5d80-4f14-947d-cf3f49f83c97,Resource church against conference.,Create interest authority charge other. City past ground.,https://dummyimage.com/630x440,http://www.alexander.biz/
P002,Laptop,Electronics,1104.0,1200,8,1.2,348,Daughter staff door could song blue share such could none lawyer.,d356f4e5-24f7-4a77-a1c5-80f6e1babddc,Linda Little,278ba1ec-ce54-43aa-a9b7-5e6014d2ce63,Letter indeed them attention want.,Plan woman tree produce news.,https://dummyimage.com/498x401,https://www.thomas.com/
P004,Shoes,Fashion,65.6,80,18,3.8,98,Various top manage month character physical become.,179f6c5d-7789-49c0-b487-bbdc4cd644ac,Jennifer Velasquez,80641ea5-d0a6-43b8-8d87-23defe27be0e,Take use not lose final.,Thank position religious prevent game fly. Phone level card.,https://placeimg.com/925/561/any,https://www.lopez.com/
P001,Smartphone,Electronics,720.0,800,10,1.2,65,Let field remember among force law those policy action difficult sure walk.,61512a54-b2cb-44fd-8d08-5558af72439b,Elizabeth Myers,a014cf84-0c35-4b8e-b6ab-fcba380bc136,Shake ground step.,Soon simply structure power son relate condition. Economic difference personal my.,https://placeimg.com/117/748/any,https://williams.com/
P006,Smartwatch,Electronics,99.0,150,34,1.8,187,Store board information two even organization public actually day piece good for company.,61c25464-455c-42b8-b8ea-026cebcad60c,Karen Williams,17503e4f-d30f-483e-b7b4-7da66f6db8b7,Matter trip hour.,Art PM authority tax morning. Camera TV itself style brother family dinner show.,https://placekitten.com/583/413,http://hanson.biz/
P004,Shoes,Fashion,62.4,80,22,1.1,113,Board they follow price public worry animal writer meeting tax.,44cd84f2-b8dc-447b-ba21-40ea5ae4c6d7,Sheila Hanson,a8acbaaf-e6ab-4250-8939-1c464b6f206d,Natural suffer list find low summer will during.,Somebody sometimes base one rise.,https://placeimg.com/97/199/any,http://www.roberts-johnson.com/
P006,Smartwatch,Electronics,129.0,150,14,3.5,350,Congress south sense increase guess also.,fe321682-0cc3-498e-9a1c-582db80205b5,Thomas Smith,9aee0d0a-b9cc-4f40-933e-84af26f2fdef,According full yet company.,Option into traditional group. Safe fly seven why big table.,https://placeimg.com/578/535/any,http://www.boone.info/
P010,Tablet,Electronics,328.0,400,18,4.5,232,Maybe image ask their listen street southern budget opportunity positive remember worker they.,d533ac96-7ac4-4695-8c92-46227653d4c9,Trevor Klein,c6ffb129-769d-4564-be31-749bf429a9cf,Piece write method in design food whom.,Glass cultural music shoulder success second.,https://placekitten.com/203/553,https://www.cook.com/
P004,Shoes,Fashion,52.0,80,35,2.9,139,Level employee just friend space order American call case break.,76550c74-edfc-4c39-95ef-bc8d7166e6db,Jennifer Bailey,94f4188f-2851-4e69-8605-02c6db55e495,See seat step study computer.,Movement all couple decade most go seek.,https://www.lorempixel.com/347/939,https://www.wilson-boyer.com/
P003,Headphones,Accessories,92.0,100,8,4.3,23,Land relationship range firm send fact culture industry.,87bd57ec-bcaa-4e8e-b741-5ef22908ef5f,Cassidy Butler,7a856753-6c1f-4c79-b3df-c874e0a3833b,Share yeah answer shoulder.,Project memory should produce same.,https://www.lorempixel.com/145/542,http://harris.info/
P003,Headphones,Accessories,66.0,100,34,2.0,39,However stuff citizen fish spend chance dream rest worker something.,01b84b32-98c5-406d-b874-6ce489bc16b8,Mr. Billy Smith DDS,3c83a761-8bfc-4f7c-820b-1b545a9332b7,Read event from.,Will goal attorney understand watch strategy say dark. Street moment west three ball work human series.,https://placekitten.com/204/638,https://burns-alvarado.com/
P006,Smartwatch,Electronics,99.0,150,34,1.2,411,Alone stock drive consumer option national nature unit television hope safe protect.,7715f307-d782-411b-82a4-28dad7d2c0a8,Christy Rodriguez,82d1e6a0-5f40-4e38-b8e9-11c792297be3,Whatever notice its scientist dog particular direction.,Career most seem particular magazine deep cause.,https://placekitten.com/912/869,https://fisher-herrera.info/
P005,Backpack,Fashion,48.6,60,19,4.7,151,Report force fly thought popular where describe.,a681e06f-0642-44ec-b0db-8421a61f6031,Jennifer Baker,d0890317-9911-4be0-abad-b9b290f99911,Hospital each require listen without lay base interesting.,Country seven here health role black. Agree example can girl.,https://www.lorempixel.com/480/879,https://hubbard-rose.com/
P002,Laptop,Electronics,804.0,1200,33,3.1,192,Fund help themselves center trouble ago deep difficult support fight respond my.,274fc81c-6f9b-4edc-af55-edafda43c0f1,Kenneth Phillips,7257fae1-9d09-4988-849e-331e8cb8b8be,Suddenly per appear voice reach big condition.,Help evening professor full employee will. Rule civil west themselves history general.,https://dummyimage.com/832x160,https://www.ruiz-larson.info/
P003,Headphones,Accessories,74.0,100,26,1.7,52,Design including history travel charge data free institution wear for list born.,02086ad3-b118-4157-b558-e32bd0d15793,Anthony Hensley,46f61a71-74b2-41f1-b466-1ecb7c4a322a,One you yard glass fund guy direction.,Seat report region development western. Describe thus field visit also.,https://placekitten.com/382/925,https://patel-holmes.com/
P004,Shoes,Fashion,57.6,80,28,3.5,100,Should administration as thousand tend generation.,e38a65ca-264b-45f2-b0b8-fceb096defb9,Angela Campbell,89988f79-aef0-4c7b-80d1-302f1ea0629d,Program more factor.,Wear friend tree statement according human production.,https://placeimg.com/1011/417/any,https://www.johnson.com/
P009,LED Lamp,Home Appliances,36.4,40,9,1.4,442,System worker project better realize officer thing meet citizen economic.,cc4b20e1-87d4-4185-b582-585eec6aa253,Bryan Calhoun,e93862b6-8639-4dd1-90e5-3873e3baddf0,Down cut television ability want professional else determine.,Skill baby court.,https://placeimg.com/978/944/any,http://www.jenkins.org/
P009,LED Lamp,Home Appliances,24.4,40,39,3.9,287,Him road name wife quite hot short report four on describe threat.,bc3fc4af-9738-4249-9ed1-c20a04a1cfee,Kimberly Scott,766a74d9-e736-481a-b77e-5d8d5adfc3a1,Exactly such property partner example.,Religious thought father quickly despite.,https://placekitten.com/208/710,https://www.davidson.biz/
P005,Backpack,Fashion,55.8,60,7,1.1,245,Among thing day physical mother social painting low true ready color purpose material.,37705eee-8340-4d13-8950-8389b63b8172,Dalton Owens,94d64a96-f04e-43ac-8000-ea32a591e56e,Bank third responsibility current.,Suffer stay resource though plant low.,https://placekitten.com/100/698,http://www.baker.net/
P007,Book,Books,18.0,25,28,1.9,460,Political high fact of agent force late current main that fear thus bar.,8cff9793-1090-47b7-87f6-d462edc78dba,Brendan Patton,ae1ec4c2-624e-4a83-bb09-7e03742fa5fa,Ground over help.,Expect book north ask stuff. Positive feel her go son.,https://placekitten.com/847/830,http://johnson.com/
P008,Blender,Home Appliances,82.8,90,8,1.8,256,Wrong dog fish bag thought thank.,3440d5a5-4ac2-4546-a653-baf0df55cda6,Brenda Hart,5b61764e-bff3-4efd-97df-603a5317eb37,Hot live improve high camera than.,Less early true morning white cut. Company media husband source live.,https://placekitten.com/372/863,https://www.brown-mahoney.org/
P003,Headphones,Accessories,66.0,100,34,3.5,380,Well Mr buy sit inside measure officer address interesting.,94003125-3e6e-436a-9b15-58628c71f6a6,Julie Knox,11dfd366-9d6e-4a89-b634-00266ab148d0,Business movement military air recognize call these.,Second fine enter baby back it article. It open time head.,https://placeimg.com/306/897/any,http://www.reed-bell.com/
P010,Tablet,Electronics,332.0,400,17,4.5,452,Road board thus reflect agreement heart quite.,0a406619-b406-4ca1-be0e-bdf2290ad727,Alan Martin,e75f5c47-c748-489c-8a29-9dbb0ddbb49f,Season dog put later home yet.,Usually yard citizen forget north many color.,https://placeimg.com/668/647/any,https://www.valdez-cooper.biz/
P001,Smartphone,Electronics,568.0,800,29,4.1,208,Least quickly maybe actually debate series onto difference.,552af007-ed77-424a-8276-9a238dd31a91,Cynthia Moore,6bdd5058-57d8-4744-89b9-50aac4f499b6,Reason gun where.,Program training morning avoid major before.,https://placekitten.com/636/464,https://www.wu-martinez.com/
P008,Blender,Home Appliances,79.2,90,12,4.7,291,Wrong law record case sport positive step worry.,b88cfdab-0781-4d69-bbd6-7b7369403107,Emily Hammond,42791a7d-fb98-487e-9180-09e1ef8cf240,Should create ability whose watch check.,Admit budget standard environmental.,https://placekitten.com/936/872,https://cole-young.net/
P008,Blender,Home Appliances,59.4,90,34,1.4,294,Design college charge industry culture reveal trip suffer.,bf54bb24-cdfc-4de2-b9ac-9575ac845b79,Eric Cunningham,61cb52a5-029d-4807-96db-920bd0c400da,Local air often better we science side.,Cold cover green hit.,https://placekitten.com/939/784,http://mays.net/
P008,Blender,Home Appliances,64.8,90,28,3.7,160,Subject consider value direction growth then fill they themselves available.,b64cb43a-1e12-4f45-80e2-46dc874094cf,Lance Collier,8aa06612-df26-4523-a045-962bebd8f16d,Some old left leave open me card.,Mention measure art western. Physical reduce marriage out mention hair thing.,https://dummyimage.com/748x873,https://www.mcdowell.net/
P008,Blender,Home Appliances,85.5,90,5,1.1,349,Day baby price newspaper discover gun.,6b482928-b2b9-4b44-bd13-287c836c08fc,Timothy Howe,b3a110d2-de93-4b9b-89ae-39ab3299977f,Prepare manager quality.,Material not account bill prove just prevent. Phone provide piece level name stock room.,https://placekitten.com/845/350,https://www.johnson.com/
P005,Backpack,Fashion,36.0,60,40,4.5,31,Inside determine thus lose response mission public cover.,bbef77d3-3101-4f95-b41b-67164df0b374,Austin Johnson,745af01f-f3cd-46ea-91f8-b36e181fc9f8,Course research Mr nor until.,Attack trip play happy born. Figure control charge else line total away.,https://www.lorempixel.com/740/206,http://www.gordon.com/
P009,LED Lamp,Home Appliances,25.2,40,37,1.4,452,Move onto executive rise impact human writer story time rate tough.,4fc7df12-a643-48c6-9b55-e2db86a67c68,Megan Woods,f085cbda-fa16-434a-b172-9777b21a15a1,On road significant wrong student than deal large.,Model try American food trip. Wonder wear start form position.,https://placeimg.com/440/214/any,https://james-washington.info/
P001,Smartphone,Electronics,712.0,800,11,3.8,466,Off purpose system inside owner identify only go.,b83b2794-83c9-4e83-8e21-d4b459244829,Christopher Mcclain,ab409c7c-2fb2-4382-b13e-003208e31153,Defense one huge fight sell child help.,Single away well within growth others.,https://placekitten.com/494/596,https://hill.com/
P006,Smartwatch,Electronics,138.0,150,8,2.3,437,Line capital network head apply site computer money kitchen speech summer ever movement.,596f0e35-0904-447d-8c5e-9dc0ac8d1c43,Brett Russell,8ff38ff5-8a1a-4287-9c31-42c5fff59bb2,Analysis trial political with mother million.,None employee way data move run blue.,https://www.lorempixel.com/282/61,https://stanton.com/
P004,Shoes,Fashion,49.6,80,38,1.1,349,Rate board city lead so still back same guess believe must.,0c9ee341-5441-4fcc-856b-64c5e4b3629f,Emma Li,12d5d30f-9d1d-4784-b9d4-28070ec791b1,Technology door end.,Left future strong.,https://placekitten.com/713/636,https://www.duncan.com/
P006,Smartwatch,Electronics,91.5,150,39,2.1,363,Stay into sit west join former car herself discover.,2aa43478-af50-405f-bb61-2c51d02536e6,Emily Palmer,0d68ce87-e166-471d-b766-eb08ca36164e,Identify whatever free care room.,Recently strong money project choose let buy. Generation very raise base in.,https://www.lorempixel.com/1024/960,https://www.edwards.com/
P005,Backpack,Fashion,50.4,60,16,1.7,279,Not myself assume hard along support.,06542f3a-e924-4e25-aae9-52f36a2234b6,Catherine Norton,cad72b24-3cb6-4f85-b8a1-8d095ab59fdc,Form land see respond task game doctor skin.,Anything pattern source hit design.,https://dummyimage.com/724x335,https://reid.info/
P001,Smartphone,Electronics,568.0,800,29,1.4,405,Sing whether many stay thus simply deal either.,eea859d2-c828-4733-aaaf-92ab039debad,Lisa Woods,b1f2912d-4194-45f5-bc5d-aa4416d23eba,Away focus under west must police become rock.,Ok recently of assume simple. Make learn fund similar it identify.,https://www.lorempixel.com/770/893,http://mann-brock.org/
P008,Blender,Home Appliances,57.6,90,36,4.6,496,Success sort international sell throughout summer.,62264ddc-e1fd-43aa-add8-6419e3e391ac,Brenda Perez,cde9b346-2b24-47b7-8e86-1e5d138e16fe,Knowledge third fast their performance.,Sing wrong step. Standard either thus should job chance soon.,https://placekitten.com/446/188,https://white-evans.org/
